timestamp,frame_index,combined_score,motion_area_ratio,flow_mean,ae_error,snapshot_path
2026-06-10T16:10:48,599,0.644290,0.032279,1.497354,,/Users/justindwinata/Documents/CCTV ANOMALY DETECT/outputs/anomaly_snapshots/anomaly_20260610_161048_158954.jpg
2026-06-10T16:10:51,643,0.641737,0.042491,0.526300,,/Users/justindwinata/Documents/CCTV ANOMALY DETECT/outputs/anomaly_snapshots/anomaly_20260610_161051_090109.jpg
2026-06-10T16:10:56,727,0.659663,0.037509,1.116832,,/Users/justindwinata/Documents/CCTV ANOMALY DETECT/outputs/anomaly_snapshots/anomaly_20260610_161056_686672.jpg
2026-06-10T16:10:58,758,0.758000,0.044492,1.153397,,/Users/justindwinata/Documents/CCTV ANOMALY DETECT/outputs/anomaly_snapshots/anomaly_20260610_161058_752036.jpg
2026-06-10T16:11:00,788,0.892925,0.033767,3.098851,,/Users/justindwinata/Documents/CCTV ANOMALY DETECT/outputs/anomaly_snapshots/anomaly_20260610_161100_753417.jpg
2026-06-10T21:25:58,61,1.263152,0.070178,2.542063,,/Users/justindwinata/Documents/CCTV ANOMALY DETECT/outputs/anomaly_snapshots/anomaly_20260610_212558_698918.jpg
2026-06-10T21:26:01,105,0.862834,0.049848,1.387350,,/Users/justindwinata/Documents/CCTV ANOMALY DETECT/outputs/anomaly_snapshots/anomaly_20260610_212601_631603.jpg
2026-06-10T21:26:03,136,1.038323,0.058403,1.817338,,/Users/justindwinata/Documents/CCTV ANOMALY DETECT/outputs/anomaly_snapshots/anomaly_20260610_212603_696925.jpg
2026-06-10T21:26:05,170,0.925450,0.055356,1.311598,,/Users/justindwinata/Documents/CCTV ANOMALY DETECT/outputs/anomaly_snapshots/anomaly_20260610_212605_961394.jpg
2026-06-10T21:26:07,200,0.997530,0.051736,2.154004,,/Users/justindwinata/Documents/CCTV ANOMALY DETECT/outputs/anomaly_snapshots/anomaly_20260610_212607_961792.jpg
2026-06-10T21:26:10,231,1.189364,0.101762,2.025548,,/Users/justindwinata/Documents/CCTV ANOMALY DETECT/outputs/anomaly_snapshots/anomaly_20260610_212610_033593.jpg
2026-06-10T21:26:12,262,0.957602,0.058303,1.261604,,/Users/justindwinata/Documents/CCTV ANOMALY DETECT/outputs/anomaly_snapshots/anomaly_20260610_212612_093948.jpg
2026-06-10T21:26:16,331,0.634792,0.043676,0.367098,,/Users/justindwinata/Documents/CCTV ANOMALY DETECT/outputs/anomaly_snapshots/anomaly_20260610_212616_692890.jpg
2026-06-10T21:26:19,369,0.655053,0.029271,1.853429,,/Users/justindwinata/Documents/CCTV ANOMALY DETECT/outputs/anomaly_snapshots/anomaly_20260610_212619_222928.jpg
2026-06-10T21:26:21,399,1.500000,0.140447,4.424453,,/Users/justindwinata/Documents/CCTV ANOMALY DETECT/outputs/anomaly_snapshots/anomaly_20260610_212621_223390.jpg
